model_id,avg_throughput(req/s),min_throughput(req/s),max_throughput(req/s),runtime,no_layer,no_param,image_height,image_width,risk_level_1(%),risk_level_2(%),risk_level_3(%),total_sample,label_dist
vgg,22.238269270512,18.785639012319646,23.87685309717949,1208.7106103897095,23,33650509,32,32,13.284264260699235,29.519019176359635,0.0,26565,14609-3001-2297-2242-2238-1020-611-328-219
vgg_7,23.173378225610374,18.900521786026633,24.156457070164297,1159.770037651062,23,33650509,32,32,13.282687399845688,29.49685534591195,0.0,26565,14611-3000-2298-2242-2238-1019-610-328-219
vgg_2_7,21.62445867021991,13.591219865825433,23.294490891203505,924.1306455135345,23,33650509,32,32,13.187689363737839,28.61369399830938,0.0,19722,10888-2235-1689-1685-1654-727-444-233-167
vgg_7_6,22.76274395709026,13.454067728911395,24.482878987227096,1177.5780160427094,23,33650509,32,32,13.280783470679566,29.484340398608033,0.0,26414,14522-2990-2288-2229-2224-1013-606-326-216
vgg_6_7,23.311885905177135,19.28122380283495,23.93569901413639,1152.3202285766602,23,33650509,32,32,13.284264260699235,29.519019176359635,0.0,26564,14609-3001-2297-2242-2238-1019-610-329-219
vgg_2_12,22.531518231105988,17.108984531360182,23.94971768903917,1194.7901315689087,23,33650509,32,32,13.282687399845688,29.519019176359635,0.0,26567,14611-3001-2297-2242-2238-1020-610-329-219
vgg_6,21.33143830404922,17.759056705926977,22.680281924563086,1259.9374153614044,23,33650509,32,32,13.282687399845688,29.519019176359635,0.0,26567,14611-3000-2298-2242-2238-1020-610-329-219
vgg_3_6,20.554284189949986,18.052399986020518,23.935061136124247,1309.7601010799408,23,33650509,32,32,13.289332857652514,29.519019176359635,0.0,26522,14583-2992-2295-2242-2235-1017-610-329-219
vgg_0,23.31441925656152,19.011518903463884,23.958708553552974,1152.342677116394,23,33650509,32,32,13.289411206077872,29.528301886792452,0.0,26564,14609-3001-2297-2241-2239-1019-610-329-219
